"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.RES:WEO(9.0.0)","BGR.NGDPD.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","29.882","2.928","11.882","6.449","11.338","18.992","12.295","11.317","15.031","13.628","13.246","14.183","16.403","21.146","26.158","29.868","34.380","44.432","54.476","52.024","50.690","57.682","54.297","55.820","57.081","50.766","53.929","59.288","66.318","68.639","70.658"
"IMF.RES:WEO(9.0.0)","MDA.NGDPD.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.864","1.110","1.158","1.441","1.694","1.928","1.697","1.172","1.315","1.481","1.662","1.981","2.598","2.988","3.408","4.401","6.055","5.438","6.977","8.417","8.708","9.496","9.402","7.778","7.981","9.515","11.252","11.737","11.530"
"IMF.RES:WEO(9.0.0)","CZE.NGDPD.A","OBS_VALUE","Czech Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","60.565","67.805","62.530","67.161","65.586","62.171","68.136","82.596","100.471","120.148","137.264","156.236","189.845","236.820","207.095","211.169","231.429","210.363","213.024","210.911","189.108","198.161","221.564","251.992","256.794","251.110"
"IMF.RES:WEO(9.0.0)","UKR.NGDPD.A","OBS_VALUE","Ukraine","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","22.193","35.025","38.012","38.275","46.083","51.867","43.315","32.661","32.331","37.863","42.339","50.096","64.747","85.996","107.767","143.260","181.313","117.079","136.011","163.059","175.781","183.310","133.392","90.922","93.349","112.064","130.905","153.904","156.566"
"IMF.RES:WEO(9.0.0)","SRB.NGDPD.A","OBS_VALUE","Serbia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","24.995","20.001","12.893","10.431","13.650","17.997","23.627","26.718","28.143","33.421","45.121","54.117","46.949","43.067","51.274","45.111","50.456","49.114","41.297","42.225","45.973","52.788","53.865","55.874"
"IMF.RES:WEO(9.0.0)","LVA.NGDPD.A","OBS_VALUE","Latvia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","1.641","2.643","4.391","5.242","5.799","6.351","6.977","7.325","7.765","8.192","9.256","11.249","13.831","16.332","20.453","29.463","34.296","25.758","23.509","26.832","27.136","29.157","30.285","26.347","27.110","29.381","33.263","33.103","33.353"
"IMF.RES:WEO(9.0.0)","SVK.NGDPD.A","OBS_VALUE","Slovak Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","13.906","16.046","20.297","21.871","22.037","22.917","20.890","20.711","21.384","24.849","33.864","43.023","48.912","57.480","77.260","97.122","89.246","91.186","99.687","94.784","99.136","101.739","89.187","90.322","95.944","106.660","105.855","107.646"
"IMF.RES:WEO(9.0.0)","EST.NGDPD.A","OBS_VALUE","Estonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","1.791","2.507","3.909","4.785","5.160","5.678","5.771","5.707","6.265","7.393","9.894","12.161","14.129","17.049","22.478","24.434","19.694","19.569","23.300","23.252","25.451","27.063","23.314","24.554","27.460","31.237","31.877","31.795"
"IMF.RES:WEO(9.0.0)","MNE.NGDPD.A","OBS_VALUE","Montenegro","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","0.964","1.148","1.267","1.679","2.070","2.257","2.720","3.683","4.559","4.155","4.140","4.506","4.074","4.422","4.581","4.011","4.356","4.802","5.436","5.484","4.730"
"IMF.RES:WEO(9.0.0)","HUN.NGDPD.A","OBS_VALUE","Hungary","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","34.478","34.867","38.857","40.256","43.308","46.578","46.834","47.399","48.784","49.160","47.276","53.800","67.636","85.190","104.015","113.098","115.604","140.123","158.228","130.807","131.899","141.713","128.470","135.646","141.129","125.244","128.984","143.335","161.185","164.927","158.468"
"IMF.RES:WEO(9.0.0)","SVN.NGDPD.A","OBS_VALUE","Slovenia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","19.285","16.637","16.857","21.399","21.480","20.769","22.080","22.668","20.262","20.693","23.263","29.399","34.190","36.002","39.293","47.886","55.503","49.921","47.832","51.190","46.196","47.868","49.527","42.714","44.279","48.136","53.713","53.916","53.342"
"IMF.RES:WEO(9.0.0)","BIH.NGDPD.A","OBS_VALUE","Bosnia and Herzegovina","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","3.584","4.578","5.281","5.766","5.568","5.801","6.728","8.499","10.170","11.233","12.877","15.801","19.188","17.666","17.207","18.665","17.237","18.184","18.588","16.413","17.124","18.363","20.504","20.485","20.264"
"IMF.RES:WEO(9.0.0)","LTU.NGDPD.A","OBS_VALUE","Lithuania, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","6.742","8.440","10.159","11.284","11.017","11.541","12.260","14.283","18.801","22.710","26.118","30.138","39.765","48.004","37.591","36.693","43.201","42.736","46.321","48.388","41.548","42.952","47.745","54.294","55.132","57.352"
"IMF.RES:WEO(9.0.0)","HRV.NGDPD.A","OBS_VALUE","Croatia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.568","7.358","16.669","20.657","22.104","22.101","23.971","23.593","22.145","23.067","26.739","35.239","41.820","45.035","49.593","59.303","68.469","62.255","59.032","62.889","57.585","59.854","59.628","51.012","52.640","56.166","61.694","61.472","57.919"
"IMF.RES:WEO(9.0.0)","POL.NGDPD.A","OBS_VALUE","Poland, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","62.401","80.863","89.166","90.828","104.213","139.800","157.485","157.987","172.929","168.657","172.151","191.403","199.694","218.561","256.454","307.158","345.898","429.715","535.612","440.954","478.111","527.848","498.149","518.180","542.266","479.729","472.883","528.497","594.641","602.592","605.930"
"IMF.RES:WEO(9.0.0)","MKD.NGDPD.A","OBS_VALUE","North Macedonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","2.443","2.687","3.561","4.687","4.642","3.928","3.764","3.867","3.774","3.709","3.991","4.946","5.684","6.257","6.860","8.337","9.912","9.400","9.415","10.499","9.751","10.824","11.378","10.067","10.686","11.336","12.694","12.609","12.385"
"IMF.RES:WEO(9.0.0)","ROU.NGDPD.A","OBS_VALUE","Romania","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","38.516","29.070","19.779","26.624","30.376","35.838","35.692","35.644","42.543","35.953","37.447","40.396","46.035","57.790","75.059","98.547","122.114","174.831","215.567","174.572","170.329","192.846","179.228","189.839","199.989","177.878","185.337","210.530","243.651","251.652","252.372"
